pid	description	stomat_r	min_suction	max_suction	height1	height2	height3	height4	root_depth1	root_depth2	root_depth3	root_depth4	lai1	lai2	lai3	lai4	alb1	alb2	alb3	alb4	c_manning_n	c_musle_c1	c_musle_c2	c_musle_c3	c_musle_c4	intfc	crop_makk	crop_faoref	par_stressHum	glo_half
1	type1	195	2756	22000	1.8	1.8	1.8	1.8	1.71	1.71	1.71	1.71	3.16	3.16	3.16	3.16	0.24	0.24	0.24	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	type2	229	1703	15000	3.76	3.76	3.76	3.76	1.67	1.67	1.67	1.67	3.15	3.15	3.15	3.15	0.26	0.26	0.26	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	type3	195	2756	22000	1.8	1.8	1.8	1.8	1.71	1.71	1.71	1.71	3.16	3.16	3.16	3.16	0.24	0.24	0.24	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	type4	30.2	250	8000	0.3	0.3	0.3	0.3	0.14	0.14	0.14	0.14	0.4	0.4	0.4	0.4	0.2	0.27	0.27	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	type5	738	1176	11500	2.63	2.63	2.63	2.63	0.83	0.83	0.83	0.83	3.25	3.25	3.25	3.25	0.28	0.28	0.28	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	type6	119	650	8000	5.13	5.13	5.13	5.13	2.05	2.05	2.05	2.05	0	5.64	5.64	0	0.2	0.26	0.26	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	type7	119	650	8000	10	10	10	10	2.75	2.75	2.75	2.75	4.54	4.54	4.54	4.54	0.1	0.16	0.16	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	type8	119	650	8000	7.57	7.57	7.57	7.57	2.16	2.16	2.16	2.16	2.27	4.88	4.88	2.27	0.15	0.19	0.19	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	type9	400.6	650	8000	1.5	1.5	1.5	1.5	1	1	1	1	2	3.35	3.35	2	0.16	0.29	0.29	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	type10	770	613	8000	0.09	0.09	0.09	0.09	0.1	0.1	0.1	0.1	0.47	0.47	0.47	0.47	0.3	0.3	0.3	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	type11	770	613	8000	0.09	0.09	0.09	0.09	0.1	0.1	0.1	0.1	0.47	0.47	0.47	0.47	0.3	0.3	0.3	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	type12	291.54	650	8000	0.3	0.3	0.3	0.3	0.14	0.93	0.93	0.93	0.4	6.14	6.14	0.4	0.19	0.27	0.27	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
