Specification of landscape units, snow parameters
LU-ID[id]	aspect[deg]	mean_altitude_over_subbas_mean[m]
1	67	-349
2	-8	-372
3	72	-297
4	-8	-292
5	78	-241
6	-87	-261
7	-4	-85
8	-10	-115
9	-20	32
10	86	-186
11	-82	-52
12	82	-81
13	-8	201
14	-58	210
15	4	394
16	-9	-122
17	-14	201
18	62	-106
19	89	-30
20	-22	-315
21	0	516
22	-79	450
23	-23	65
24	2	-173
25	-25	-111
26	-7	-391
27	66	536
28	70	-32
29	70	494
30	-7	598
31	84	489
32	54	448
33	79	333
34	63	-47
35	-13	-84
36	-23	342
37	77	436
38	-70	-23
39	88	-145
40	83	419
41	-10	372
42	-2	374
43	-22	397
44	-19	436
45	75	273
46	-16	438
47	76	255
48	74	315
49	65	387
50	-21	192
51	-2	201
52	-26	76
53	49	83
54	69	-89
55	-43	-115
56	0	-110
57	-14	-291
