Specification of landscape units
LU-ID[id]	No._of_TC[-]	TC1[id]	TC2[id]	TC3[id]	kfsu[mm/d]	length[m]	meandep[mm]	maxdep[mm]	Riverbed[mm]	gwflag[0/1]	gw_dist[mm]	frgw_delay[day]
1	3	1	2	3	-9999	600	-1	-1	2000	0	-9999	-9999
2	3	4	5	6	-9999	621	-1	-1	2000	0	-9999	-9999
3	3	7	8	9	-9999	580.4	-1	-1	2000	0	-9999	-9999
4	3	10	11	12	-9999	559.5	-1	-1	2000	0	-9999	-9999
5	3	13	14	15	-9999	555	-1	-1	2000	0	-9999	-9999
6	3	16	17	18	-9999	571.9	-1	-1	2000	0	-9999	-9999
7	3	19	20	21	-9999	870	-1	-1	2000	0	-9999	-9999
8	3	22	23	24	-9999	786	-1	-1	2000	0	-9999	-9999
9	3	25	26	27	-9999	1080	-1	-1	2000	0	-9999	-9999
10	3	28	29	30	-9999	675	-1	-1	2000	0	-9999	-9999
11	3	31	32	33	-9999	780	-1	-1	2000	0	-9999	-9999
12	3	34	35	36	-9999	640	-1	-1	2000	0	-9999	-9999
13	3	37	38	39	-9999	650	-1	-1	2000	0	-9999	-9999
14	3	40	41	42	-9999	870	-1	-1	2000	0	-9999	-9999
15	3	43	44	45	-9999	567	-1	-1	2000	0	-9999	-9999
16	3	46	47	48	-9999	697.5	-1	-1	2000	0	-9999	-9999
17	3	49	50	51	-9999	1035	-1	-1	2000	0	-9999	-9999
18	3	52	53	54	-9999	768	-1	-1	2000	0	-9999	-9999
19	3	55	56	57	-9999	642	-1	-1	2000	0	-9999	-9999
20	3	58	59	60	-9999	631.7	-1	-1	2000	0	-9999	-9999
21	3	61	62	63	-9999	780	-1	-1	2000	0	-9999	-9999
22	3	64	65	66	-9999	812.7	-1	-1	2000	0	-9999	-9999
23	3	67	68	69	-9999	670	-1	-1	2000	0	-9999	-9999
24	3	70	71	72	-9999	753.7	-1	-1	2000	0	-9999	-9999
25	3	73	74	75	-9999	630	-1	-1	2000	0	-9999	-9999
26	3	76	77	78	-9999	568	-1	-1	2000	0	-9999	-9999
27	3	79	80	81	-9999	788	-1	-1	2000	0	-9999	-9999
28	3	82	83	84	-9999	625	-1	-1	2000	0	-9999	-9999
29	3	85	86	87	-9999	675.8	-1	-1	2000	0	-9999	-9999
30	3	88	89	90	-9999	616	-1	-1	2000	0	-9999	-9999
31	3	91	92	93	-9999	634.6	-1	-1	2000	0	-9999	-9999
32	3	94	95	96	-9999	680	-1	-1	2000	0	-9999	-9999
33	3	97	98	99	-9999	578.6	-1	-1	2000	0	-9999	-9999
34	3	100	101	102	-9999	740	-1	-1	2000	0	-9999	-9999
35	3	103	104	105	-9999	576	-1	-1	2000	0	-9999	-9999
36	3	106	107	108	-9999	765	-1	-1	2000	0	-9999	-9999
37	3	109	110	111	-9999	703.3	-1	-1	2000	0	-9999	-9999
38	3	112	113	114	-9999	990	-1	-1	2000	0	-9999	-9999
39	3	115	116	117	-9999	775.4	-1	-1	2000	0	-9999	-9999
40	3	118	119	120	-9999	577.5	-1	-1	2000	0	-9999	-9999
41	3	121	122	123	-9999	731.2	-1	-1	2000	0	-9999	-9999
42	3	124	125	126	-9999	495	-1	-1	2000	0	-9999	-9999
43	3	127	128	129	-9999	612.3	-1	-1	2000	0	-9999	-9999
44	3	130	131	132	-9999	660	-1	-1	2000	0	-9999	-9999
45	3	133	134	135	-9999	450	-1	-1	2000	0	-9999	-9999
46	3	136	137	138	-9999	525	-1	-1	2000	0	-9999	-9999
47	3	139	140	141	-9999	520	-1	-1	2000	0	-9999	-9999
48	3	142	143	144	-9999	570	-1	-1	2000	0	-9999	-9999
49	3	145	146	147	-9999	555	-1	-1	2000	0	-9999	-9999
50	3	148	149	150	-9999	690	-1	-1	2000	0	-9999	-9999
51	3	151	152	153	-9999	930	-1	-1	2000	0	-9999	-9999
52	3	154	155	156	-9999	600	-1	-1	2000	0	-9999	-9999
53	3	157	158	159	-9999	600	-1	-1	2000	0	-9999	-9999
54	3	160	161	162	-9999	442.5	-1	-1	2000	0	-9999	-9999
55	3	163	164	165	-9999	660	-1	-1	2000	0	-9999	-9999
56	3	166	167	168	-9999	390	-1	-1	2000	0	-9999	-9999
57	3	169	170	171	-9999	795	-1	-1	2000	0	-9999	-9999
