Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
1	0.79545	9.36	3
2	0.13636	5.43	2
3	0.06818	10.34	1
4	0.84091	8.93	3
5	0.09091	6.6	2
6	0.06818	8.9	1
7	0.11364	8.47	3
8	0.86364	13.62	2
9	0.02273	16.5	1
10	0.06818	6.19	3
11	0.63636	15.01	2
12	0.29545	12.42	1
13	0.38636	13.27	3
14	0.22727	20.48	2
15	0.38636	16.08	1
16	0.11364	7.99	3
17	0.68182	15.21	2
18	0.20455	17.67	1
19	0.52273	15	3
20	0.40909	24.2	2
21	0.06818	8.97	1
22	0.11364	10.72	3
23	0.72727	20.31	2
24	0.15909	27.98	1
25	0.43182	22.48	3
26	0.5	32.4	2
27	0.06818	9.89	1
28	0.29545	13.33	3
29	0.68182	24.55	2
30	0.02273	12.07	1
31	0.11364	12.09	3
32	0.27273	24.98	2
33	0.61364	44.54	1
34	0.34091	18.75	3
35	0.63636	27.74	2
36	0.02273	9.96	1
37	0.47727	30.18	3
38	0.31818	24.35	2
39	0.20455	13.15	1
40	0.11364	13.14	3
41	0.72727	22.58	2
42	0.15909	2.62	1
43	0.11364	11.66	3
44	0.36364	17.22	2
45	0.52273	14.73	1
46	0.11364	13.02	3
47	0.86364	24.56	2
48	0.02273	36.6	1
49	0.84091	26.65	3
50	0.13636	14.83	2
51	0.02273	45.82	1
52	0.34091	19.17	3
53	0.59091	25.83	2
54	0.06818	26.58	1
55	0.11364	17.39	3
56	0.81818	29.42	2
57	0.06818	30.6	1
58	0.34091	9.82	3
59	0.40909	12.64	2
60	0.25	12.87	1
61	0.43182	32.54	3
62	0.40909	44.17	2
63	0.15909	35.46	1
64	0.25	31.26	3
65	0.68182	52.1	2
66	0.06818	26.73	1
67	0.25	25.67	3
68	0.27273	37.1	2
69	0.47727	48.28	1
70	0.25	15.06	3
71	0.54545	22	2
72	0.20455	24.49	1
73	0.25	19.17	3
74	0.59091	34.51	2
75	0.15909	19.61	1
76	0.20455	7.55	3
77	0.22727	10.73	2
78	0.56818	12.08	1
79	0.38636	34.64	3
80	0.45455	44.11	2
81	0.15909	32.28	1
82	0.34091	16.8	3
83	0.18182	29.48	2
84	0.47727	32.15	1
85	0.11364	15.64	3
86	0.31818	24.81	2
87	0.56818	27.98	1
88	0.11364	19.08	3
89	0.31818	27.84	2
90	0.56818	31.27	1
91	0.11364	17.57	3
92	0.31818	25.8	2
93	0.56818	30.88	1
94	0.43182	19.58	3
95	0.54545	24.3	2
96	0.02273	32.68	1
97	0.06818	7.02	3
98	0.27273	13.95	2
99	0.65909	15.16	1
100	0.65909	26.53	3
101	0.04545	49.35	2
102	0.29545	52.08	1
103	0.75	20.56	3
104	0.09091	7.15	2
105	0.15909	16.35	1
106	0.43182	19.53	3
107	0.54545	27.25	2
108	0.02273	11.47	1
109	0.11364	11.33	3
110	0.31818	21.71	2
111	0.56818	24.15	1
112	0.70455	19.74	3
113	0.22727	72.67	2
114	0.06818	0.1	1
115	0.11364	12.59	3
116	0.81818	19.91	2
117	0.06818	15.67	1
118	0.20455	11.5	3
119	0.77273	17.41	2
120	0.02273	22.66	1
121	0.43182	33.58	3
122	0.18182	51.47	2
123	0.38636	35.02	1
124	0.11364	12.92	3
125	0.63636	27.34	2
126	0.25	17.1	1
127	0.06818	12.25	3
128	0.18182	28.78	2
129	0.75	32.02	1
130	0.34091	37.53	3
131	0.5	20.06	2
132	0.15909	0.1	1
133	0.25	6.43	3
134	0.54545	21.69	2
135	0.20455	38.38	1
136	0.11364	10.4	3
137	0.09091	27.73	2
138	0.79545	15.43	1
139	0.11364	7.49	3
140	0.18182	15.2	2
141	0.70455	18.81	1
142	0.25	10.72	3
143	0.59091	19.69	2
144	0.15909	11.95	1
145	0.43182	18.14	3
146	0.13636	36.2	2
147	0.43182	17.56	1
148	0.15909	14.9	3
149	0.81818	37.48	2
150	0.02273	84.66	1
151	0.65909	29.45	3
152	0.27273	19.65	2
153	0.06818	38.25	1
154	0.38636	28.88	3
155	0.40909	78.36	2
156	0.20455	32.49	1
157	0.38636	29.07	3
158	0.59091	61.46	2
159	0.02273	36.16	1
160	0.56818	30.15	3
161	0.18182	21.43	2
162	0.25	11.75	1
163	0.29545	25.18	3
164	0.54545	46.7	2
165	0.15909	31	1
166	0.52273	29.01	3
167	0.13636	6.13	2
168	0.34091	32.04	1
169	0.43182	14.77	3
170	0.5	21.39	2
171	0.06818	8.46	1
