eha_id	aspect.sin	aspect.cos	rel_alt
2	-0.11	-0.21	-593.57
4	-0.54	0.21	-580.15
7	-0.1	-0.52	-585.77
8	-0.52	0.08	-567.6
9	-0.6	-0.31	-532.21
11	-0.1	-0.57	-538.5
12	-0.72	0.1	-504.8
18	-0.31	-0.19	-594.91
23	-0.29	-0.12	-535.5
24	-0.56	0.34	-535.52
30	-0.31	0	-562.3
56	-0.57	0.16	-466.11
57	-0.47	-0.48	-513.22
58	-0.48	0.02	-510.07
70	-0.23	-0.2	-549.9
71	-0.51	-0.5	-464.09
72	-0.5	0.25	-482.21
73	-0.05	-0.64	-346.19
74	-0.67	0.21	-344.87
77	-0.63	-0.46	-471.84
85	-0.35	-0.36	-528.03
91	-0.44	-0.4	-412.36
92	-0.4	0.15	-418.45
97	-0.25	-0.67	-435.37
98	-0.17	0.36	-462.41
101	-0.05	-0.4	-300.45
102	-0.56	0.49	-289.17
111	-0.39	-0.19	-496.1
112	-0.56	0.51	-448.9
122	-0.47	0.2	-484.68
123	-0.28	-0.01	-386.32
124	-0.24	0.37	-341.8
128	-0.33	-0.13	-476.4
140	-0.26	0.44	-359.95
145	-0.43	0.18	-254.57
146	-0.3	0.55	-269.19
147	-0.42	-0.24	-327.36
149	-0.67	0.13	-188.42
151	-0.72	-0.3	-94.3
152	-0.74	0.3	-143.81
156	-0.38	0.08	-417.41
160	-0.31	0.23	-382.86
161	-0.54	-0.38	-302.28
169	-0.47	-0.43	-193.03
171	-0.35	-0.62	-299.11
173	-0.42	-0.42	-372.65
175	0.04	-0.7	-357.52
176	-0.72	0.24	-349.69
177	-0.09	-0.63	-396.68
178	-0.41	-0.23	-414.48
187	-0.37	-0.27	-450.95
194	-0.25	-0.27	-507.79
202	-0.32	-0.19	-491.11
205	-0.67	0.09	-438.11
206	-0.21	0.71	-433.73
207	-0.1	-0.48	-456.61
224	-0.41	0.19	-427.22
233	-0.63	-0.26	-385.84
235	-0.53	-0.58	-328.49
238	-0.5	0.44	-258.93
239	-0.36	-0.2	-254.85
240	-0.53	0.31	-263.73
242	-0.15	0.6	-326.27
243	-0.43	0.19	-348.5
244	0.17	0.62	-350.24
250	-0.57	0.33	2.06
252	-0.5	0.32	-125.91
257	-0.13	-0.5	-402.99
263	0.11	-0.71	-362.83
264	-0.36	0.52	-352.7
267	-0.68	-0.06	-239.75
268	0.38	0.49	-262.24
269	-0.44	0.1	-170.74
274	-0.39	0.57	0.05
275	-0.19	0.69	7.8
277	-0.54	0.04	-234.27
281	-0.21	-0.45	-357.31
285	0.22	-0.49	-300.71
286	-0.38	0.52	-321.09
292	-0.26	0.5	-229.21
295	-0.09	-0.66	-303.41
296	-0.41	0.43	-298.47
300	0.14	0.59	-255.61
302	-0.66	-0.15	-257.95
304	-0.64	-0.05	23.09
313	0.03	-0.03	79.27
313	0.03	-0.03	-154.25
314	-0.46	0.3	34.85
315	-0.53	-0.42	-82.98
318	-0.57	0.15	-254.14
323	-0.8	0.11	203.07
324	-0.35	0.57	209.91
327	-0.49	0.39	385.91
327	-0.49	0.39	152.4
329	-0.66	-0.17	-66.4
329	-0.66	-0.17	167.11
332	0.37	0.31	-238.09
335	-0.76	0.1	-3
336	-0.61	0.29	-117
337	-0.81	0.19	-6.3
338	-0.56	0.47	293.66
350	0.28	0.7	26.4
351	-0.65	-0.29	-46.81
352	0.26	0.61	-95.9
359	-0.68	-0.15	107.4
369	-0.04	0.65	66.79
370	0.4	0.46	62.53
373	-0.26	0.75	86.16
374	0.56	0.46	31.74
375	0.07	0.77	10.31
376	0.37	0.48	-8.81
379	-0.57	-0.4	-217.31
380	-0.65	-0.11	-232.38
384	-0.67	0.08	-277.29
399	-0.72	0.11	-110.25
400	-0.58	0.13	-133.79
404	-0.53	0.22	-221.33
409	-0.31	-0.11	-189.23
419	-0.08	-0.16	-176.41
421	0.05	0.59	-339.68
421	0.05	0.59	-106.16
422	0.27	0.32	-35.82
433	-0.55	-0.21	-11.84
433	-0.55	-0.21	-245.36
434	-0.79	0.07	-176.71
434	-0.79	0.07	56.8
439	-0.31	0.14	-399.02
448	-0.67	-0.26	-167.38
448	-0.67	-0.26	66.13
459	-0.54	-0.4	-313.37
460	0.27	0.62	-287.75
469	-0.52	-0.05	-281.44
475	-0.44	-0.34	-232.59
477	0.39	-0.61	-145.14
478	-0.76	0.18	-44.62
485	-0.61	0.42	254.44
509	-0.41	0.75	701.27
511	-0.38	0.24	503.16
512	-0.35	0.74	526.05
514	-0.46	0.6	377.79
520	-0.79	0.17	35.69
525	-0.52	-0.16	-236.79
526	-0.61	-0.08	-149.86
527	0.75	0.2	-137.91
527	0.75	0.2	95.6
530	0.69	-0.05	-108.51
535	0.52	0.43	-218.25
536	0.66	-0.05	-215.85
537	0.59	0.54	-56.6
538	0.69	-0.25	-92.77
539	0.38	0.47	-281.09
545	-0.65	0.33	-186.89
549	-0.29	0	-106.35
557	-0.18	-0.65	110.41
558	-0.25	0.08	-40.26
559	-0.35	-0.36	72.97
561	-0.43	-0.45	197.33
563	-0.76	-0.31	420.63
564	-0.29	0.62	325.22
565	-0.62	0.17	685.02
566	-0.23	0.8	695.43
569	-0.2	-0.74	385.08
569	-0.2	-0.74	618.59
570	-0.75	-0.37	449.78
571	-0.07	-0.73	380.38
574	-0.36	-0.7	260.83
581	-0.24	-0.58	-154.18
587	0.46	0.66	-80.47
588	0.61	0.33	-197.02
593	0.18	0.77	-167.81
593	0.18	0.77	65.71
594	0.35	0.48	-164.51
598	0.49	0.51	-263.37
609	-0.15	-0.59	-179.63
612	-0.38	0.04	-383.7
612	-0.38	0.04	-150.18
617	-0.4	0.64	-73.56
619	-0.74	0.04	-79.89
620	-0.03	0.75	-63.03
624	-0.62	0.11	62.29
624	-0.62	0.11	295.8
627	-0.69	0.18	173.12
629	0.13	-0.44	-134.69
634	-0.3	0.5	-34.93
635	-0.68	-0.23	192.38
637	-0.38	0.53	420.82
637	-0.38	0.53	187.31
642	-0.46	0.57	224.96
642	-0.46	0.57	458.47
649	-0.46	0.61	206.48
651	0.2	-0.56	-22.88
653	0.16	-0.69	-12.95
654	-0.52	0.48	-28.97
655	-0.46	0.53	70.22
665	-0.18	-0.72	8.2
666	-0.24	0.74	25.05
668	0.2	0.58	164.03
669	-0.24	-0.61	109.46
673	-0.35	0.22	118.62
675	-0.61	-0.12	266.76
682	-0.33	0.22	621.39
683	-0.75	0.05	439.71
684	0.39	0.68	142.84
684	0.39	0.68	376.35
687	-0.68	0.04	691.31
687	-0.68	0.04	457.79
688	-0.05	0.75	336.02
688	-0.05	0.75	569.54
693	-0.09	0.59	388.39
694	0.15	0.54	184.13
694	0.15	0.54	417.64
696	-0.4	-0.01	88.91
698	-0.01	0.05	181.1
702	-0.16	0.45	418.15
705	-0.31	0.05	554.78
707	-0.65	0.29	677.37
708	0.4	0.6	715.66
721	0.34	-0.68	232.6
722	-0.62	0.27	267.71
730	-0.28	0.51	341.87
734	-0.1	0.33	276.67
743	-0.26	-0.54	307.29
744	-0.34	0.04	330.82
746	0.12	0.38	239.15
748	0.45	0.14	269.19
751	-0.71	-0.34	285.95
752	-0.15	0.43	268.41
754	0.62	0.26	329.93
757	-0.66	-0.33	261.98
758	0.36	0.65	279.15
760	-0.02	0.32	296.42
768	-0.55	-0.17	339.54
773	-0.68	-0.17	315.93
774	0.28	0.69	371.16
775	-0.15	-0.38	395.26
776	-0.28	0.58	399.36
780	0.5	0.59	362.83
786	0.38	0.56	435.12
787	0.14	0.66	463.7
788	0.77	0.08	553.01
789	0.55	0.47	485.79
790	0.81	0.08	471.07
793	0.51	0.66	532.76
794	0.56	-0.19	436.12
799	-0.14	-0.56	281.81
800	-0.18	0.58	219.54
801	-0.36	-0.19	295.22
802	0.22	0.46	308.82
803	-0.26	0.4	363.89
804	0.41	0.13	375.79
807	-0.71	-0.25	308.12
808	0.45	0.46	326.62
813	-0.32	-0.69	557.61
814	-0.45	0.32	481.17
817	-0.27	-0.38	394.36
821	-0.5	-0.17	358.68
822	0.22	0.61	375.49
824	-0.63	-0.35	413.58
826	0.3	0.64	402.2
828	0.11	0.5	405.54
830	-0.34	0.31	397.22
832	-0.41	0.1	477.58
833	0.23	-0.72	473.36
834	-0.69	0.15	527.61
837	-0.5	-0.41	755.34
842	0.1	0.45	409.23
845	-0.1	-0.51	318.11
847	-0.55	-0.13	493.46
848	-0.54	0.34	476.78
857	-0.37	-0.47	320.94
858	0.11	0.38	315.4
865	0.46	-0.15	290.35
866	-0.49	-0.11	220.21
867	0.08	-0.25	296.36
869	-0.24	-0.54	309.85
870	0.13	0.61	317.24
871	-0.62	-0.41	327.81
872	0.22	0.53	346.38
873	-0.42	-0.52	441.71
874	-0.08	0.52	422.64
881	-0.51	-0.55	550.36
882	-0.16	0.75	534.8
883	-0.15	-0.58	627.57
890	-0.53	0.36	679.62
891	-0.34	-0.52	955.56
892	0.19	0.76	891.23
896	-0.26	0.34	946.37
901	-0.72	0.02	1282.67
902	0.18	0.62	1268.43
905	-0.73	-0.11	1304.63
906	-0.57	0.38	1173.93
909	-0.72	-0.37	1284.99
914	-0.42	-0.56	1167.34
915	-0.31	-0.57	1312.54
925	-0.73	0.23	1068.39
926	0.05	0.6	1081.81
931	0.09	-0.58	684.79
939	-0.45	-0.36	1194.19
943	-0.39	-0.6	1029.79
946	-0.13	-0.69	867.07
949	-0.67	0.43	716.79
950	0.23	0.47	652.58
951	-0.19	-0.69	650.85
952	-0.75	-0.19	635.06
953	0.61	-0.43	500.35
954	-0.49	-0.39	493.11
955	-0.27	-0.61	495.65
956	-0.36	0.63	492.23
961	0.8	0.06	461.71
970	0.12	-0.67	476.35
971	0.68	-0.23	517.28
972	0.47	-0.65	529.09
981	0.67	-0.25	46.05
982	-0.68	-0.1	120.74
983	0.61	-0.24	191.83
984	-0.65	0.02	201.24
985	-0.67	-0.27	374.85
986	-0.4	-0.09	418.65
993	-0.22	-0.58	395.83
994	-0.55	0.29	506.16
1001	0.13	-0.6	258.91
1002	-0.56	0.25	279.58
1009	-0.54	-0.36	517.18
1010	-0.55	0.42	482.63
1013	-0.29	-0.59	464.8
1014	-0.68	0.31	433.41
1016	0.09	-0.54	443.97
1023	0.43	-0.61	440.98
1024	-0.37	-0.31	400.62
1026	0.46	-0.43	395.59
1029	0.5	0.16	192.35
1030	0.34	-0.45	268.18
1031	0.23	0.11	385.24
1035	0.42	0.2	459.02
1036	0.64	-0.39	477.91
1040	0.29	-0.5	446.89
1047	0.53	-0.58	117.68
1048	-0.14	-0.59	97.21
1049	0.63	-0.31	75.82
1051	0.58	-0.31	242.41
1052	-0.55	-0.23	272.9
1058	0.16	-0.53	362.92
1065	0.43	-0.14	335.21
1067	0.25	-0.56	-79.17
1069	0.72	-0.2	52.94
1070	-0.49	-0.57	83.15
1071	0.8	0.02	208.77
1072	-0.68	-0.37	266.3
1077	0.34	0.4	494.57
1078	0.69	-0.17	430.89
1082	-0.1	-0.34	393.72
1083	-0.13	-0.63	536.28
1089	0.38	-0.43	540.47
1099	0.5	-0.16	517.68
1101	0.63	0.35	449.3
1102	0.48	-0.6	394.75
1103	0.54	-0.33	-50.92
1104	-0.41	-0.59	-57.9
1114	-0.18	-0.47	134.79
1115	0.56	-0.42	94.03
1116	-0.07	-0.81	254.81
1121	-0.09	-0.73	-12.63
1122	-0.79	-0.02	-25.86
1123	0.56	-0.32	-196.32
1124	-0.73	-0.21	-135.26
1130	-0.64	-0.21	217.75
1134	-0.41	-0.3	191.26
1141	-0.42	-0.42	551.17
1149	0.71	-0.26	-187.08
1150	-0.17	-0.52	-187.07
1155	0.53	-0.35	64.79
1156	-0.21	-0.65	149.48
1159	0.63	-0.24	-128.81
1160	0.1	-0.63	-147.08
1161	0.7	-0.09	-135.9
1162	-0.12	-0.61	-174.34
1167	0.53	-0.13	-235.07
1168	-0.02	-0.47	-260.35
1169	0.3	-0.45	-267.43
1173	0.29	-0.5	-179.14
1174	-0.36	-0.55	-139.13
1178	-0.23	-0.31	-220.75
1179	0.28	-0.26	-148.82
1185	0.59	-0.44	-234.44
1186	-0.08	-0.3	-216.88
1187	-0.72	-0.23	-338.28
1188	0.15	0.63	-305.37
1189	-0.47	-0.44	-286.7
1193	-0.23	0.51	-219.26
1195	-0.37	-0.21	-223.86
1197	0.02	0.42	-134.89
1198	0.27	0.68	-90.94
1200	0.25	0.49	-6.38
1201	-0.41	0.41	-155
1202	0.15	0.55	-54.71
1205	0.4	-0.59	-241.57
1207	-0.54	-0.06	-217.87
1208	-0.05	0.63	-300.12
1209	0.39	-0.55	-236.89
1210	-0.71	0.19	-258.8
1212	-0.17	-0.17	-123.69
1216	-0.26	-0.44	-370.86
1219	0.51	-0.23	-361.71
1220	-0.4	-0.45	-418.38
1221	0.12	-0.73	-277.8
1222	-0.45	0.33	-339.7
1223	0.49	-0.58	-268.22
1224	-0.67	0.37	-276.24
1227	0.5	-0.36	-251.91
1229	0.69	-0.37	-162.43
1230	-0.67	0.22	-220.52
1233	0.2	-0.42	-205.34
1234	-0.3	0.38	-168.46
1242	-0.31	0.42	-168.25
1245	-0.65	-0.28	-124.81
1246	-0.43	0.44	-158.41
1254	-0.67	0.08	-106.27
1258	-0.46	0.1	-34.1
1260	-0.37	-0.09	50.75
1266	-0.53	0.14	99.33
1268	-0.03	-0.55	84.11
1271	0.59	-0.24	20.94
1272	-0.23	-0.4	24.83
1274	0.23	-0.52	-18.18
1277	0.36	-0.24	-172.66
1280	0	-0.49	-82.95
1286	0.05	-0.68	-85.44
1294	0.62	-0.19	-55.1
1295	0.62	0	-110.17
1296	-0.21	-0.22	-117.22
1297	0.23	-0.69	-17.76
1298	-0.6	0.23	6.44
1301	0.35	-0.36	77.35
1304	-0.19	-0.34	110.76
1305	0.3	-0.63	113.6
1308	0.58	0.06	-42.13
1316	0.6	-0.54	-171.07
1323	-0.39	0.16	-400.03
1324	-0.18	0.56	-400.23
1325	0.13	-0.58	-370.21
1329	-0.15	-0.49	-374.67
1330	-0.68	-0.07	-344.73
1333	0.39	-0.12	-486.94
1336	-0.21	-0.38	-452.22
1344	-0.39	0.2	-341.09
1349	-0.14	-0.45	-240.41
1351	0.17	-0.5	-64.11
1352	-0.01	-0.34	-29.13
1353	0.1	-0.7	-56.07
1358	-0.32	-0.58	-116.32
1361	-0.12	-0.57	-115.85
1364	-0.05	-0.25	-120.84
1368	0.2	-0.28	-122.73
1371	0.47	-0.5	-203.86
1373	0.17	-0.78	-277.24
1377	0.2	-0.6	-311.6
1378	-0.33	-0.49	-291.07
1383	0.56	0.23	-455.08
1385	0.34	0.57	-306.19
1386	0.5	-0.49	-300.81
1392	0.29	0.62	-159.54
1395	0.77	-0.22	-153.78
1396	0.04	-0.61	-138.08
1400	0.36	0.54	-100.78
1401	0.84	-0.07	-125.19
1402	0.42	-0.49	-131.2
1407	0.13	-0.65	-404.69
1408	-0.1	-0.48	-430.53
1411	0.63	0.22	-392.51
1412	0.6	0.06	-411.41
1420	-0.29	-0.43	-424.67
1421	-0.1	-0.63	-240.51
1422	-0.5	-0.11	-180.95
1423	0.1	-0.54	-335.84
1425	-0.55	-0.52	-228.34
1427	0.59	-0.3	-250.96
