pid	description	soil_id	position	theta_r	theta_pwp	fk	fk63	nfk	theta_s	thickness	ks	suction	pore_size_i	bubb_pres	coarse_frag
1	NA	27	1	0.07975	0.14	0.5033	0.4696	0.4236	0.5553	25	207.6	580	0.3123	14.72	0.2025
2	NA	27	2	0.08016	0.1403	0.3905	0.456	0.3104	0.5351	75	82.98	581.5	0.3129	14.22	0.2084
3	NA	27	3	0.08375	0.1457	0.3541	0.4397	0.2703	0.5096	120	85.95	597.7	0.3099	17.9	0.2148
4	NA	27	4	0.08906	0.1585	0.325	0.4248	0.2359	0.4784	230	79.87	665.4	0.293	25.44	0.2256
5	NA	27	5	0.09123	0.1641	0.3068	0.4067	0.2156	0.4525	172.6	85.84	761.4	0.2824	30.67	0.2408
6	NA	79	1	0.08239	0.1425	0.4759	0.4643	0.3935	0.5491	25	213.1	548	0.3112	14.96	0.2076
7	NA	79	2	0.08295	0.1432	0.3843	0.4534	0.3013	0.5298	75	83.34	547	0.3115	14.61	0.2134
8	NA	79	3	0.08714	0.1501	0.3509	0.4393	0.2638	0.5044	120	85.19	566.4	0.3064	18.6	0.2178
9	NA	79	4	0.09331	0.1651	0.3291	0.4277	0.2358	0.4736	230	76.07	631.7	0.2857	26.69	0.2238
10	NA	79	5	0.09543	0.1717	0.3126	0.4111	0.2172	0.4482	192.5	78.67	730.6	0.2715	32.45	0.2327
11	NA	98	1	0.06446	0.1211	0.6662	0.4921	0.6017	0.5913	25	138.2	748.1	0.3245	10.33	0.2222
12	NA	98	2	0.06391	0.1197	0.4526	0.4654	0.3887	0.56	75	63.51	771.1	0.3264	10.21	0.2249
13	NA	98	3	0.06655	0.1203	0.4116	0.4418	0.345	0.5362	120	72.3	757.1	0.3321	11.26	0.242
14	NA	98	4	0.06804	0.1191	0.3369	0.4108	0.2688	0.5053	230	81.54	782.5	0.3408	13.14	0.2676
15	NA	98	5	0.07241	0.1219	0.3028	0.3844	0.2304	0.4756	2.141	100	857.9	0.3441	14.62	0.3115
16	NA	1027	1	0.08101	0.1423	0.4897	0.4674	0.4087	0.5476	25	223.8	578.3	0.3105	16.41	0.1885
17	NA	1027	2	0.08139	0.1428	0.3823	0.4551	0.3009	0.5309	75	87.83	576.3	0.3113	15.54	0.1945
18	NA	1027	3	0.08497	0.1487	0.3504	0.4404	0.2654	0.5057	120	90	593.4	0.3072	19.76	0.2009
19	NA	1027	4	0.09037	0.1634	0.3255	0.428	0.2352	0.4759	230	81.84	669.8	0.2867	28.52	0.2097
20	NA	1027	5	0.09215	0.1688	0.308	0.4108	0.2158	0.4511	350	86.74	763.5	0.2768	33.9	0.2219
21	NA	1027	6	0.09229	0.1694	0.2971	0.3992	0.2048	0.4384	700	94.54	821.7	0.2746	35.64	0.2337
22	NA	1027	7	0.09199	0.1674	0.2913	0.3922	0.1993	0.4331	500	99.33	846.2	0.2761	35.13	0.2475
23	NA	1079	1	0.08314	0.1442	0.4623	0.4598	0.3792	0.538	25	234.6	557.7	0.3102	17.19	0.1896
24	NA	1079	2	0.08364	0.1452	0.3706	0.4503	0.287	0.5238	75	90.13	551.7	0.3105	16.34	0.1955
25	NA	1079	3	0.08768	0.1524	0.3473	0.439	0.2596	0.5	120	91.57	572.4	0.3042	20.77	0.2003
26	NA	1079	4	0.09396	0.1689	0.3293	0.4291	0.2354	0.4699	230	80.42	647.6	0.2808	29.97	0.206
27	NA	1079	5	0.09546	0.1746	0.312	0.4136	0.2165	0.4466	350	82.85	739.1	0.2687	35.58	0.2133
28	NA	1079	6	0.09522	0.175	0.302	0.4044	0.2068	0.4368	700	89.26	785.5	0.2662	37.07	0.2233
29	NA	1079	7	0.09487	0.1731	0.2961	0.3972	0.2013	0.4317	500	94.41	813.9	0.2671	36.74	0.2357
30	NA	1098	1	0.06502	0.1219	0.6703	0.4939	0.6053	0.5927	25	137.9	736.7	0.3233	10.25	0.2141
31	NA	1098	2	0.0646	0.1205	0.4548	0.4663	0.3902	0.5602	75	62.99	759.7	0.3255	10.19	0.2174
32	NA	1098	3	0.06712	0.1209	0.4075	0.4405	0.3404	0.5347	120	71.92	753	0.3319	11.34	0.2357
33	NA	1098	4	0.06848	0.1197	0.3329	0.4106	0.2644	0.505	230	80.56	776.7	0.3401	13.2	0.2586
34	NA	1098	5	0.07303	0.1228	0.2993	0.3845	0.2263	0.4755	350	98.13	851.6	0.3427	14.64	0.3024
35	NA	1098	6	0.07351	0.1214	0.2834	0.3648	0.2099	0.4524	700	119.7	918.9	0.3498	16.21	0.3317
36	NA	1098	7	0.07359	0.1205	0.2723	0.357	0.1987	0.4422	500	126.4	936.2	0.3533	17.2	0.3512
37	NA	72	1	0.08672	0.1485	0.4737	0.4712	0.3869	0.551	25	203.2	493.9	0.3058	15.2	0.2047
38	NA	72	2	0.08721	0.1497	0.4002	0.464	0.313	0.534	75	78.2	491.8	0.3054	14.85	0.21
39	NA	72	3	0.0918	0.1578	0.364	0.4503	0.2722	0.5081	120	78.46	514.4	0.2988	19.19	0.2131
40	NA	72	4	0.0976	0.1734	0.3401	0.4386	0.2425	0.4775	230	69.39	592.4	0.2765	27.75	0.2188
41	NA	72	5	0.09958	0.1814	0.3269	0.4224	0.2273	0.4511	133.3	70.72	707.2	0.2569	34.92	0.2247
42	NA	1072	1	0.08672	0.1485	0.4543	0.4646	0.3675	0.5423	25	220.6	506	0.3066	16.29	0.1936
43	NA	1072	2	0.08715	0.1497	0.3854	0.4591	0.2983	0.529	75	84.37	501.1	0.306	15.59	0.1994
44	NA	1072	3	0.09163	0.1579	0.3573	0.4471	0.2656	0.5037	120	84.03	524.4	0.2988	20.19	0.2027
45	NA	1072	4	0.0978	0.175	0.3376	0.4371	0.2398	0.4735	230	73.45	607	0.2738	29.43	0.2075
46	NA	1072	5	0.09948	0.1827	0.3247	0.4224	0.2252	0.4493	350	74.44	715.1	0.2554	36.38	0.2121
47	NA	1072	6	0.09951	0.1843	0.3155	0.4128	0.216	0.4381	700	75.72	772.4	0.2489	38.63	0.218
48	NA	1072	7	0.09885	0.181	0.308	0.4043	0.2091	0.4328	500	79.8	795.1	0.2515	37.45	0.2289
49	NA	30	1	0.07789	0.1372	0.7208	0.5096	0.6429	0.5869	25	177.1	504.1	0.3108	11.44	0.22
50	NA	30	2	0.07962	0.1395	0.4866	0.4824	0.407	0.5568	75	58.88	521	0.3094	11.46	0.23
51	NA	30	3	0.08454	0.144	0.377	0.4455	0.2925	0.5163	120	68	544.1	0.3121	15.09	0.24
52	NA	30	4	0.08389	0.1433	0.3129	0.4263	0.2291	0.4984	230	66.57	574.5	0.316	16.65	0.25
53	NA	30	5	0.08952	0.1531	0.2872	0.3995	0.1977	0.4562	255	72.5	671.5	0.3049	22.69	0.265
54	NA	1030	1	0.07789	0.1372	0.7208	0.5096	0.6429	0.5869	25	177.1	504.1	0.3108	11.44	0.22
55	NA	1030	2	0.07962	0.1395	0.4866	0.4824	0.407	0.5568	75	58.88	521	0.3094	11.46	0.23
56	NA	1030	3	0.08454	0.144	0.377	0.4455	0.2925	0.5163	120	68	544.1	0.3121	15.09	0.24
57	NA	1030	4	0.08389	0.1433	0.3129	0.4263	0.2291	0.4984	230	66.57	574.5	0.316	16.65	0.25
58	NA	1030	5	0.08952	0.1531	0.2872	0.3995	0.1977	0.4562	350	72.5	671.5	0.3049	22.69	0.265
59	NA	1030	6	0.09139	0.1547	0.2746	0.3804	0.1832	0.4354	700	75.7	759.1	0.2992	24.09	0.275
60	NA	1030	7	0.08974	0.1497	0.2671	0.3725	0.1774	0.4313	500	81	787.2	0.3062	23.26	0.28
61	NA	1067	1	0.08987	0.1542	0.414	0.4523	0.3241	0.5126	25	283.2	522.6	0.3018	21.75	0.1757
62	NA	1067	2	0.08938	0.1546	0.3489	0.4477	0.2595	0.5105	75	107.2	513.6	0.3035	19.87	0.1812
63	NA	1067	3	0.09318	0.1635	0.3404	0.4413	0.2473	0.4877	120	102.7	550.2	0.2926	25.63	0.1859
64	NA	1067	4	0.09977	0.1864	0.3384	0.4387	0.2386	0.4581	230	85.16	666.7	0.2559	39.48	0.1911
65	NA	1067	5	0.09975	0.1916	0.3268	0.4274	0.227	0.4397	350	84.19	761.1	0.2422	46.11	0.1925
66	NA	1067	6	0.09967	0.1938	0.3167	0.4187	0.217	0.4309	700	93.44	815.7	0.2356	48.01	0.1975
67	NA	1067	7	0.09905	0.1919	0.3109	0.4127	0.2119	0.4257	500	96.83	837.4	0.2364	48.26	0.2106
68	NA	11	1	0.07716	0.1356	0.6116	0.4895	0.5345	0.5792	25	170.9	547.2	0.3137	11.41	0.1872
69	NA	11	2	0.07835	0.1367	0.4308	0.4645	0.3524	0.5472	75	74.41	565	0.3144	11.69	0.1953
70	NA	11	3	0.08223	0.1409	0.3673	0.4433	0.2851	0.5189	120	79.87	558.2	0.3159	14.63	0.1976
71	NA	11	4	0.0899	0.1529	0.3256	0.4252	0.2357	0.4848	230	71.08	585.2	0.3043	19.66	0.2125
72	NA	11	5	0.0957	0.1646	0.3095	0.4056	0.2138	0.4523	64.43	68.55	691.6	0.2827	25.54	0.223
73	NA	67	1	0.09023	0.154	0.4298	0.4519	0.3396	0.5125	25	275.7	527.6	0.3015	20.88	0.1772
74	NA	67	2	0.08992	0.1544	0.3476	0.4454	0.2577	0.51	75	106.7	517	0.3031	18.87	0.1836
75	NA	67	3	0.09411	0.1647	0.3401	0.4412	0.246	0.4884	120	98.81	549.1	0.2907	24.85	0.1892
76	NA	67	4	0.1012	0.1886	0.3401	0.4408	0.2389	0.4622	230	81.91	653.4	0.2538	37.41	0.1963
77	NA	67	5	0.1006	0.1927	0.3253	0.4288	0.2247	0.4442	350	83.42	740.9	0.2427	43.47	0.1996
78	NA	67	6	0.1002	0.1944	0.3131	0.418	0.2129	0.4335	168.3	90.07	801.3	0.2367	45.36	0.2036
79	NA	1011	1	0.07733	0.1359	0.6155	0.4905	0.5382	0.579	25	173	542.3	0.3136	11.51	0.1866
80	NA	1011	2	0.07873	0.1373	0.4298	0.465	0.3511	0.5472	75	74.09	562.1	0.314	11.76	0.1946
81	NA	1011	3	0.08236	0.1412	0.3684	0.4446	0.2861	0.5197	120	79.47	554	0.3157	14.7	0.1964
82	NA	1011	4	0.09029	0.1538	0.3272	0.4263	0.2369	0.4848	230	70.09	583.4	0.3033	19.9	0.2116
83	NA	1011	5	0.09607	0.1652	0.3111	0.4064	0.215	0.4531	350	68.16	689.9	0.2816	25.41	0.2223
84	NA	1011	6	0.09687	0.1657	0.2986	0.394	0.2018	0.4427	700	70.14	744.9	0.277	25.49	0.2288
85	NA	1011	7	0.09627	0.1626	0.2909	0.386	0.1946	0.4386	500	77.61	768	0.2803	24.38	0.2348
86	NA	1001	1	0.08136	0.1399	0.3972	0.4495	0.3159	0.5272	25	188.6	509.4	0.3181	17.42	0.18
87	NA	1001	2	0.08137	0.1402	0.3638	0.4485	0.2824	0.5201	75	74.76	511.7	0.3169	15.78	0.18
88	NA	1001	3	0.08677	0.1487	0.3559	0.4348	0.2691	0.4865	120	78.48	548.2	0.3098	21.87	0.2
89	NA	1001	4	0.09445	0.1675	0.3229	0.4235	0.2285	0.455	230	68.75	638.5	0.2825	31.64	0.19
90	NA	1001	5	0.097	0.1765	0.3167	0.4149	0.2197	0.4372	350	69.53	729.9	0.2629	38.37	0.21
91	NA	1001	6	0.09773	0.1818	0.3111	0.4099	0.2133	0.4271	700	67.85	791.4	0.2512	42.98	0.22
92	NA	1001	7	0.09445	0.1674	0.2907	0.3903	0.1963	0.4196	500	77.25	799.3	0.2728	36.5	0.22
93	NA	28	1	0.08986	0.16	0.3196	0.4428	0.2298	0.4967	25	212.5	523.1	0.301	25.86	0.2079
94	NA	28	2	0.09023	0.158	0.355	0.4568	0.2648	0.5067	75	79.61	480.6	0.3018	22.45	0.2069
95	NA	28	3	0.09605	0.1722	0.348	0.4552	0.252	0.4897	120	73.44	519.6	0.285	28.26	0.2079
96	NA	28	4	0.1045	0.2087	0.3595	0.4586	0.255	0.4595	230	54.16	706.3	0.2261	49.58	0.2069
97	NA	28	5	0.1027	0.2095	0.348	0.4451	0.2453	0.4425	350	56	808.3	0.2155	56.17	0.2069
98	NA	28	6	0.1012	0.2161	0.3325	0.4374	0.2313	0.4313	419.8	62.34	884.2	0.2083	62.74	0.2179
99	NA	1028	1	0.08644	0.1528	0.2947	0.429	0.2083	0.4938	25	280.8	548.1	0.3099	23.61	0.19
100	NA	1028	2	0.08886	0.1541	0.3365	0.4462	0.2476	0.5086	75	103	504.2	0.3053	20.08	0.18
101	NA	1028	3	0.09493	0.1677	0.3339	0.4415	0.2389	0.4847	120	96.99	551.1	0.2881	26.47	0.19
102	NA	1028	4	0.103	0.2011	0.3467	0.4491	0.2437	0.4577	230	75.02	695.1	0.2362	45.61	0.18
103	NA	1028	5	0.1013	0.2028	0.3284	0.4301	0.227	0.4357	350	79.52	816.9	0.2241	51.77	0.18
104	NA	1028	6	0.1007	0.2029	0.3221	0.422	0.2214	0.4267	700	81.87	871.8	0.219	54.11	0.2
105	NA	1028	7	0.1005	0.2019	0.319	0.4161	0.2185	0.4214	500	84.29	906	0.2159	54.57	0.21
