pid	description	kf_bedrock	soil_depth	allu_depth	riverbed_depth	gw_flag	gw_dist	frgw_delay	sdr_lu	slopelength	aspect	relative_altitude
1	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	600	67.2855876468328	-349.01
2	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	621	-8.13010235415598	-372.18
3	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	580.4	71.565051177078	-297.25
4	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	559.5	-7.81529354676688	-292.06
5	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	555	78.2748879848349	-240.91
6	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	571.9	-86.7602997038979	-261.35
7	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	870	-3.52145337692224	-84.97
8	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	786	-10.4599090929291	-114.78
9	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	1080	-20.1363034282481	32.17
10	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	675	85.6012946450045	-186.03
11	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	780	-82.1466866980218	-52.22
12	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	640	81.6743496695732	-80.74
13	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	650	-7.53944513950931	201.13
14	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	870	-58.4486150516865	209.91
15	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	567	4.08561677997488	393.59
16	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	697.5	-8.53076560994813	-122.44
17	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	1035	-14.4702941000659	200.53
18	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	768	62.3189384315147	-105.92
19	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	642	88.95837332399	-29.93
20	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	631.7	-22.3801350519596	-314.86
21	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	780	0	516.28
22	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	812.7	-78.8708107103888	449.68
23	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	670	-22.6937949450924	64.94
24	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	753.7	1.61353893288118	-173.08
25	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	630	-25.4268741695898	-110.71
26	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	568	-7.25319461272534	-391.03
27	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	788	66.3179122754616	536.03
28	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	625	69.6768631703371	-31.71
29	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	675.8	69.9284741354613	494.13
30	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	616	-7.00126755749534	597.95
31	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	634.6	84.2894068625004	488.64
32	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	680	54.1623470457217	447.99
33	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	578.6	78.6900675259798	332.78
34	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	740	63.0342855671298	-47.19
35	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	576	-13.1906107122068	-84.04
36	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	765	-23.1985905136482	342.08
37	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	703.3	77.4711922908485	435.96
38	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	990	-70.3461759419467	-22.88
39	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	775.4	88.2100893917539	-144.59
40	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	577.5	83.2901631922431	418.9
41	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	731.2	-9.78240703180729	371.74
42	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	495	-2.08256527973088	373.94
43	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	612.3	-22.3801350519596	397.12
44	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	660	-18.7413404451927	436.12
45	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	450	74.9315118405078	273.08
46	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	525	-16.3895403340348	438.07
47	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	520	75.9637565320735	254.68
48	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	570	73.8556612197165	315.4
49	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	555	65.0952311919048	387.33
50	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	690	-21.4767909795404	191.83
51	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	930	-1.76239102366051	201.24
52	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	600	-26.2001148413473	75.82
53	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	600	49.3160275198656	83.15
54	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	442.5	68.6820877245384	-88.91
55	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	660	-42.8389205117736	-115.09
56	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	390	0	-110.17
57	NA	-9999	-1	-1	2000	0	-9999	-9999	NA	795	-14.0362434679265	-291.2
