no	lu_labels
1	132141
2	132121
3	131141
4	131121
5	132131
6	131131
7	112121
8	111121
9	122121
10	111131
11	122131
12	112141
13	112122
14	112132
15	131122
16	113121
17	122122
18	112131
19	113131
20	131111
21	123122
22	123132
23	123121
24	112111
25	113111
26	132111
27	123142
28	113141
29	113142
30	113122
31	113132
32	111142
33	131142
34	123131
35	133121
36	111122
37	111132
38	121141
39	111141
40	131132
41	123112
42	133122
43	113112
44	111112
45	133132
46	132112
47	132142
48	132132
49	133142
50	122112
51	121122
52	122111
53	123141
54	133141
55	123111
56	133111
57	111111
