lu_id	tc_id	fraction	position
1	1	0.79545	1
1	2	0.13636	2
1	3	0.06818	3
2	4	0.84091	1
2	5	0.09091	2
2	6	0.06818	3
3	7	0.11364	1
3	8	0.86364	2
3	9	0.02273	3
4	10	0.06818	1
4	11	0.63636	2
4	12	0.29545	3
5	13	0.38636	1
5	14	0.22727	2
5	15	0.38636	3
6	16	0.11364	1
6	17	0.68182	2
6	18	0.20455	3
7	19	0.52273	1
7	20	0.40909	2
7	21	0.06818	3
8	22	0.11364	1
8	23	0.72727	2
8	24	0.15909	3
9	25	0.43182	1
9	26	0.5	2
9	27	0.06818	3
10	28	0.29545	1
10	29	0.68182	2
10	30	0.02273	3
11	31	0.11364	1
11	32	0.27273	2
11	33	0.61364	3
12	34	0.34091	1
12	35	0.63636	2
12	36	0.02273	3
13	37	0.47727	1
13	38	0.31818	2
13	39	0.20455	3
14	40	0.11364	1
14	41	0.72727	2
14	42	0.15909	3
15	43	0.11364	1
15	44	0.36364	2
15	45	0.52273	3
16	46	0.11364	1
16	47	0.86364	2
16	48	0.02273	3
17	49	0.84091	1
17	50	0.13636	2
17	51	0.02273	3
18	52	0.34091	1
18	53	0.59091	2
18	54	0.06818	3
19	55	0.11364	1
19	56	0.81818	2
19	57	0.06818	3
20	58	0.34091	1
20	59	0.40909	2
20	60	0.25	3
21	61	0.43182	1
21	62	0.40909	2
21	63	0.15909	3
22	64	0.25	1
22	65	0.68182	2
22	66	0.06818	3
23	67	0.25	1
23	68	0.27273	2
23	69	0.47727	3
24	70	0.25	1
24	71	0.54545	2
24	72	0.20455	3
25	73	0.25	1
25	74	0.59091	2
25	75	0.15909	3
26	76	0.20455	1
26	77	0.22727	2
26	78	0.56818	3
27	79	0.38636	1
27	80	0.45455	2
27	81	0.15909	3
28	82	0.34091	1
28	83	0.18182	2
28	84	0.47727	3
29	85	0.11364	1
29	86	0.31818	2
29	87	0.56818	3
30	88	0.11364	1
30	89	0.31818	2
30	90	0.56818	3
31	91	0.11364	1
31	92	0.31818	2
31	93	0.56818	3
32	94	0.43182	1
32	95	0.54545	2
32	96	0.02273	3
33	97	0.06818	1
33	98	0.27273	2
33	99	0.65909	3
34	100	0.65909	1
34	101	0.04545	2
34	102	0.29545	3
35	103	0.75	1
35	104	0.09091	2
35	105	0.15909	3
36	106	0.43182	1
36	107	0.54545	2
36	108	0.02273	3
37	109	0.11364	1
37	110	0.31818	2
37	111	0.56818	3
38	112	0.70455	1
38	113	0.22727	2
38	114	0.06818	3
39	115	0.11364	1
39	116	0.81818	2
39	117	0.06818	3
40	118	0.20455	1
40	119	0.77273	2
40	120	0.02273	3
41	121	0.43182	1
41	122	0.18182	2
41	123	0.38636	3
42	124	0.11364	1
42	125	0.63636	2
42	126	0.25	3
43	127	0.06818	1
43	128	0.18182	2
43	129	0.75	3
44	130	0.34091	1
44	131	0.5	2
44	132	0.15909	3
45	133	0.25	1
45	134	0.54545	2
45	135	0.20455	3
46	136	0.11364	1
46	137	0.09091	2
46	138	0.79545	3
47	139	0.11364	1
47	140	0.18182	2
47	141	0.70455	3
48	142	0.25	1
48	143	0.59091	2
48	144	0.15909	3
49	145	0.43182	1
49	146	0.13636	2
49	147	0.43182	3
50	148	0.15909	1
50	149	0.81818	2
50	150	0.02273	3
51	151	0.65909	1
51	152	0.27273	2
51	153	0.06818	3
52	154	0.38636	1
52	155	0.40909	2
52	156	0.20455	3
53	157	0.38636	1
53	158	0.59091	2
53	159	0.02273	3
54	160	0.56818	1
54	161	0.18182	2
54	162	0.25	3
55	163	0.29545	1
55	164	0.54545	2
55	165	0.15909	3
56	166	0.52273	1
56	167	0.13636	2
56	168	0.34091	3
57	169	0.43182	1
57	170	0.5	2
57	171	0.06818	3
