pid	description	soil_id	veg_id	musle_k	musle_c1	musle_c2	musle_c3	musle_c4	musle_p	coarse_frac	manning_n	special_area
1	NA	11	0	NA	NA	NA	NA	NA	NA	NA	NA	0
2	NA	11	18	NA	NA	NA	NA	NA	NA	NA	NA	0
3	NA	27	0	NA	NA	NA	NA	NA	NA	NA	NA	0
4	NA	27	1	NA	NA	NA	NA	NA	NA	NA	NA	0
5	NA	27	3	NA	NA	NA	NA	NA	NA	NA	NA	0
6	NA	27	10	NA	NA	NA	NA	NA	NA	NA	NA	0
7	NA	27	12	NA	NA	NA	NA	NA	NA	NA	NA	0
8	NA	27	13	NA	NA	NA	NA	NA	NA	NA	NA	0
9	NA	27	16	NA	NA	NA	NA	NA	NA	NA	NA	0
10	NA	27	17	NA	NA	NA	NA	NA	NA	NA	NA	0
11	NA	27	18	NA	NA	NA	NA	NA	NA	NA	NA	0
12	NA	27	20	NA	NA	NA	NA	NA	NA	NA	NA	0
13	NA	72	1	NA	NA	NA	NA	NA	NA	NA	NA	0
14	NA	72	3	NA	NA	NA	NA	NA	NA	NA	NA	0
15	NA	72	10	NA	NA	NA	NA	NA	NA	NA	NA	0
16	NA	72	12	NA	NA	NA	NA	NA	NA	NA	NA	0
17	NA	72	13	NA	NA	NA	NA	NA	NA	NA	NA	0
18	NA	72	16	NA	NA	NA	NA	NA	NA	NA	NA	0
19	NA	72	17	NA	NA	NA	NA	NA	NA	NA	NA	0
20	NA	72	18	NA	NA	NA	NA	NA	NA	NA	NA	0
21	NA	72	20	NA	NA	NA	NA	NA	NA	NA	NA	0
22	NA	79	1	NA	NA	NA	NA	NA	NA	NA	NA	0
23	NA	79	3	NA	NA	NA	NA	NA	NA	NA	NA	0
24	NA	79	10	NA	NA	NA	NA	NA	NA	NA	NA	0
25	NA	79	12	NA	NA	NA	NA	NA	NA	NA	NA	0
26	NA	79	13	NA	NA	NA	NA	NA	NA	NA	NA	0
27	NA	79	16	NA	NA	NA	NA	NA	NA	NA	NA	0
28	NA	79	17	NA	NA	NA	NA	NA	NA	NA	NA	0
29	NA	79	18	NA	NA	NA	NA	NA	NA	NA	NA	0
30	NA	79	20	NA	NA	NA	NA	NA	NA	NA	NA	0
31	NA	98	10	NA	NA	NA	NA	NA	NA	NA	NA	0
32	NA	98	16	NA	NA	NA	NA	NA	NA	NA	NA	0
33	NA	98	20	NA	NA	NA	NA	NA	NA	NA	NA	0
34	NA	1011	13	NA	NA	NA	NA	NA	NA	NA	NA	0
35	NA	1011	18	NA	NA	NA	NA	NA	NA	NA	NA	0
36	NA	1027	0	NA	NA	NA	NA	NA	NA	NA	NA	0
37	NA	1027	1	NA	NA	NA	NA	NA	NA	NA	NA	0
38	NA	1027	3	NA	NA	NA	NA	NA	NA	NA	NA	0
39	NA	1027	9	NA	NA	NA	NA	NA	NA	NA	NA	0
40	NA	1027	10	NA	NA	NA	NA	NA	NA	NA	NA	0
41	NA	1027	12	NA	NA	NA	NA	NA	NA	NA	NA	0
42	NA	1027	13	NA	NA	NA	NA	NA	NA	NA	NA	0
43	NA	1027	16	NA	NA	NA	NA	NA	NA	NA	NA	0
44	NA	1027	17	NA	NA	NA	NA	NA	NA	NA	NA	0
45	NA	1027	18	NA	NA	NA	NA	NA	NA	NA	NA	0
46	NA	1027	20	NA	NA	NA	NA	NA	NA	NA	NA	0
47	NA	1067	1	NA	NA	NA	NA	NA	NA	NA	NA	0
48	NA	1067	3	NA	NA	NA	NA	NA	NA	NA	NA	0
49	NA	1072	0	NA	NA	NA	NA	NA	NA	NA	NA	0
50	NA	1072	1	NA	NA	NA	NA	NA	NA	NA	NA	0
51	NA	1072	3	NA	NA	NA	NA	NA	NA	NA	NA	0
52	NA	1072	10	NA	NA	NA	NA	NA	NA	NA	NA	0
53	NA	1072	12	NA	NA	NA	NA	NA	NA	NA	NA	0
54	NA	1072	13	NA	NA	NA	NA	NA	NA	NA	NA	0
55	NA	1072	16	NA	NA	NA	NA	NA	NA	NA	NA	0
56	NA	1072	17	NA	NA	NA	NA	NA	NA	NA	NA	0
57	NA	1072	18	NA	NA	NA	NA	NA	NA	NA	NA	0
58	NA	1072	20	NA	NA	NA	NA	NA	NA	NA	NA	0
59	NA	1079	0	NA	NA	NA	NA	NA	NA	NA	NA	0
60	NA	1079	1	NA	NA	NA	NA	NA	NA	NA	NA	0
61	NA	1079	3	NA	NA	NA	NA	NA	NA	NA	NA	0
62	NA	1079	9	NA	NA	NA	NA	NA	NA	NA	NA	0
63	NA	1079	10	NA	NA	NA	NA	NA	NA	NA	NA	0
64	NA	1079	12	NA	NA	NA	NA	NA	NA	NA	NA	0
65	NA	1079	13	NA	NA	NA	NA	NA	NA	NA	NA	0
66	NA	1079	16	NA	NA	NA	NA	NA	NA	NA	NA	0
67	NA	1079	17	NA	NA	NA	NA	NA	NA	NA	NA	0
68	NA	1079	18	NA	NA	NA	NA	NA	NA	NA	NA	0
69	NA	1079	20	NA	NA	NA	NA	NA	NA	NA	NA	0
70	NA	1098	10	NA	NA	NA	NA	NA	NA	NA	NA	0
71	NA	1098	16	NA	NA	NA	NA	NA	NA	NA	NA	0
72	NA	1098	20	NA	NA	NA	NA	NA	NA	NA	NA	0
