TC	svc_c1	svc_c2	svc_c3	svc_c4	svc_c5	svc_c6	svc_c7	svc_c8	svc_c9	svc_c10	svc_c11	svc_c12	svc_c13	svc_c14	svc_c15	svc_c16	svc_c17	svc_c18	svc_c19	svc_c20	svc_c21	svc_c22	svc_c23	svc_c24	svc_c25	svc_c26	svc_c27	svc_c28	svc_c29	svc_c30	svc_c31	svc_c32	svc_c33	svc_c34	svc_c35	svc_c36	svc_c37	svc_c38	svc_c39	svc_c40	svc_c41	svc_c42	svc_c43	svc_c44	svc_c45	svc_c46	svc_c47	svc_c48	svc_c49	svc_c50	svc_c51	svc_c52	svc_c53	svc_c54	svc_c55	svc_c56	svc_c57	svc_c58	svc_c59	svc_c60	svc_c61	svc_c62	svc_c63	svc_c64	svc_c65	svc_c66	svc_c67	svc_c68	svc_c69	svc_c70	svc_c71	svc_c72	soils_c1	soils_c2	soils_c3	soils_c4	soils_c5	soils_c6	soils_c7	soils_c8	soils_c9	soils_c10	soils_c11	slope_width
1	0	0	0	0	0.00115	0.00034	0.004	0.00545	0.00168	0.01295	0.02686	0	0	0	5e-05	0.00019	0.00101	0	0.00046	0.00046	0	0	0.00114	0.0015	0.00105	0.00925	0.00035	0.00301	0.01548	0	0	0	0	0	0	0.01961	0.02785	0.1319	0	0.00195	0.01938	0.0136	0.00515	0.01431	0.13098	0	3e-05	7e-05	0.00094	0	0.00422	0.00131	7e-05	0.00733	0	0.00278	0.00142	0	0.00408	0.09487	0.19725	0.00181	0.01834	0.01616	0.02153	0.00618	0.00965	0.16088	0	0	0	0	0	0.05241	0.00217	0.03179	0	0	0.36471	1e-04	0.01807	0.53077	0	0.043
2	0	0	0	0	0.00065	0	0.00829	0	0	1e-05	0.00798	0	0	0	0.00015	0	0	0	0	0.00187	0	0	0	0.00086	0.00224	0.00114	0	0	0.00581	0	0	0	0	0	0	0	0.0571	0.11449	0	0.00482	0.03832	0.00234	0	0.00695	0.13229	0	0.00181	4e-04	0	0	0.00137	0.00467	0	0.00356	0	0.00017	0.00328	0	0	0.1222	0.20494	0	0.01178	0.0067	0.00699	0.01104	0.02128	0.21447	0	0	0	0	0	0.01695	0.00202	0.01006	0	0	0.35629	0.00222	0.01305	0.59942	0	0.02765
3	0	0	0	0	4e-05	0	0.00828	0	0	0	0.00421	0	0	0	0	0	0	0	0	0.00266	0	0	0	0	0.00063	0	0	0	0.00791	0	0	0	0	0	0	0	0.05525	0.08923	0	0.00094	0.03651	0	0	0.01483	0.11621	0	0.00897	0	0	0	0.00536	0.00155	0	0.00795	0	0	0.00628	0	0	0.10881	0.22148	0	0.00483	0.01015	0.00381	0.03161	0.02383	0.2287	0	0	0	0	0	0.01253	0.00266	0.00855	0	0	0.31297	0.00897	0.02114	0.63316	0	0.0244
4	0	0	0	2e-05	0.00051	0.01031	0.0043	0	0.00307	0	0.02301	0	0	0.00028	0.00484	0.00027	0	0	0	0.00318	0	0.00216	0	0.01089	0	0	0.0048	0	0.02411	0	0	0	0	0	0	0	0.01208	0.10894	0	0.05186	0.02699	0	0.01682	0	0.13559	0	0	0	0	0	0.00167	0.01509	0.0048	0	0	0	0.00744	0	7e-05	0.08587	0.21241	0	0.05009	0.01381	0	0.01028	0	0.15447	0	0	0	0	0	0.04122	0.00856	0.04195	0	0	0.35227	0	0.029	0.52697	0	0.04024
5	0	0	0	0	0.00032	0.01915	0	0	0.0055	0	0.01534	0	0	0.00012	0.00898	0	0	0	0	0.00455	0	0	0.00031	0.00283	0	0	0	0	0.01141	0	0	0	0	0	0	0	0.02352	0.10767	0	0.05218	0.02574	0	0.01342	0	0.21161	0	0	0	0	0	0.00066	0.0206	0.00737	0	0	0	0.02134	0	0	0.06056	0.19994	0	0.02968	0.017	0	0	0	0.14018	0	0	0	0	0	0.04032	0.01365	0.01454	0	0	0.4341	0	0.04996	0.44735	0	0.02945
6	0	0	0	0	0	0.02396	0	0	0.0055	0	0.01642	0	0	0	0.00268	0	0	0	0	0.00679	0	0	0.00047	0.00434	0	0	0	0	0.01114	0	0	0	0	0	0	0	0.04943	0.08989	0	0.05029	0.02774	0	0.02205	0	0.2227	0	0	0	0	0	7e-05	0.01487	0.0088	0	0	0	0.02203	0	0	0.04301	0.20082	0	0.02892	0.01344	0	0	0	0.13468	0	0	0	0	0	0.04591	0.00947	0.01592	0	0	0.46203	0	0.04577	0.42088	0	0.02588
7	0	0	0.00263	0	0.00316	0.00818	0.00529	0.00145	0.01521	0.007	0.05256	0.00593	0	0	9e-05	0.0018	0	0	5e-05	0.00085	0	0.00011	0.00034	0.00184	0	0	0.00087	0	0.00471	0	0	0	0	0	0	0.03071	0.00646	0.20411	0	0.0593	0.09417	0.01074	0.07033	0.0184	0.25428	0.03158	0	0	0	0	0.00074	0.00125	0.00296	0	8e-05	9e-05	0.00225	0	0	0.00181	0.02603	0	0.02235	0.00013	0	0.00695	0	0.04319	0	0	0	0	0	0.10144	0.00279	0.00785	0	0	0.78007	0	0.00738	0.10045	0	0.04736
8	0	0	0.00153	0	0.00257	0.0219	0.00315	0.00025	0.03167	0.01031	0.04942	0.01217	0	2e-05	0.00087	0.00017	0	2e-04	0.00064	0.00299	0	4e-05	5e-04	5e-04	0	0	0.00202	0	0.00859	0	0	0	0	0	0	0.01453	0.00045	0.17666	0	0.07678	0.05469	0.00278	0.09268	0.02571	0.29265	0.022	0	0	0	0	0.0013	0.00254	0.0015	0	0.00029	0.00172	0.00308	0	0	0.00183	0.02523	0	0.00516	0.00164	0	0.00492	0	0.0423	5e-05	0	0	0	0	0.13296	0.0049	0.01165	0	0	0.75892	0	0.01043	0.08112	0	0.04103
9	0	0	0.00113	0	0.00063	0.03279	0.00183	0	0.02715	0.00948	0.05002	0.006	0	0	0	0	0	0	0	0.0075	0	0	0.00054	0	0	0	0	0	0.01363	0	0	0	0	0	0	0.00733	0	0.16035	0	0.07306	0.02956	0	0.08546	0.02471	0.34148	0.01858	0	0	0	0	0.0041	0	0.00256	0	0	0.002	0.00748	0	0	0.00031	0.04304	0	0.00379	0	0	0.00115	0	0.04402	0.00027	0	0	0	0	0.12908	0.0075	0.01417	0	0	0.74054	0	0.01613	0.09258	0	0.02423
10	0	0	0	0.00154	0.00168	0.03041	0.00619	0	0.01301	0.0095	0.06931	0.00036	0	0	0	0	0	0.00046	0	0.00013	0	0	0	0.00018	0	0	0.00183	0	0.00227	0	0	0	0	0	0	0.03178	0.00888	0.08425	0	0.11848	0.10166	0.00413	0.0227	0.01578	0.39666	0.01916	0	0	0	0	0.00672	0.00023	0.00195	0	0.00016	0	0.00448	0	0	0.00529	0.00883	0	0.00142	0.0024	0	0.00378	0	0.02441	0	0	0	0	0	0.13198	0.00059	0.00428	0	0	0.80352	0	0.01353	0.04613	0	0.04775
11	0	0	0.0014	0.00049	0.00287	0.03768	0.00428	4e-05	0.01628	0.00478	0.07013	0.00555	5e-05	0	0.00139	0	0	6e-04	0	0.00115	0	6e-05	0.00012	0.00095	0.00191	0	0.00183	0	0.00225	0	0	0	0	0	0	0.0126	0.01459	0.08981	0	0.1539	0.07873	0.00153	0.02801	0.00224	0.36659	0.0089	0	0	0	0.00284	0.00216	0.0131	0.00259	0	0.00117	0	0.00501	0	0	0.00418	0.01392	0	0.00455	0.00965	0	0.00249	0	0.02761	0	0	0	0	0	0.14348	0.00319	0.00713	0	0	0.75691	0	0.02686	0.06238	0	0.04856
12	0	0	0.00249	0	0.00238	0.04271	0.00325	0	0.017	0.00023	0.08759	0.00343	0.00016	0	0.01378	0	0	0	0	0.00054	0	0	0.00087	0.00148	0.00202	0	0.00037	0	0.00635	0	0	0	0	0	0	0.00444	0.0113	0.11251	0	0.17548	0.05127	0.00073	0.03136	0	0.31939	0.00258	0	0	0	0.00137	5e-05	0.02887	0.00013	0	0.00059	0	0.00371	0	0	0.00285	0.01426	0	0.00614	0.01342	0	0.00076	0	0.03417	0	0	0	0	0	0.15907	0.01448	0.0111	0	0	0.70905	0	0.03471	0.07161	0	0.03253
13	0	0	0	0	0	0.01356	0.03639	0	0.00984	0.00872	0.051	0	0	0.00048	0	0.00392	0	0.00086	0	0.00296	0	0	0.00096	0.01331	0.00979	0	0.00547	0.02443	0.01381	0	0	0	0	0	0	0	0	0.03035	0	0.06211	0.14469	0	0.04043	0.01213	0.1524	0	0	0	0	0	0.00042	0	0.0159	0	0.00223	0	0.0045	0	0	0.0028	0.06511	0	0.01121	0.05594	0	0.01013	0.04223	0.15194	0	0	0	0	0	0.11948	0.0082	0.06777	0	0	0.44216	0	0.02305	0.33929	0	0.05009
14	0	0	0	0	0.00045	0.02306	0.00978	0	0.0215	0.01404	0.07682	0	0	0	0	0.00273	0	0.00062	0	0	0	0	0.00157	0.01778	0.01401	0	0.00975	0.03061	0.01855	0	0	0	0	0	0	0	0.00203	0.03405	0	0.04959	0.0685	0	0.0325	0.02216	0.13543	0	0	0	0	0	5e-05	0	0.0319	0	0.00111	0	0.00334	0	0	0.0127	0.04869	0	0.00958	0.10097	0	0.02852	0.05763	0.12012	0	0	0	0	0	0.14562	0.00335	0.09223	0	0	0.34429	0	0.0364	0.37822	0	0.04721
15	0	0	0	0	0.00367	0.00835	0	0	0.02501	0.00812	0.04861	0	0	0	0	0.00026	0	0.01381	0	0	0	0	0.01082	0.0308	0.01087	0	0.00652	0.02607	0.0342	0	0	0	0	0	0	0	0.00115	0.02374	0	0.02333	0.00094	0	0.03723	0.01933	0.16546	0	0	0	0	0	0	0	0.01704	0	0.00668	0	0.00107	0	0	0.02175	0.05911	0	0.0375	0.13156	0	0.02798	0.06739	0.13161	0	0	0	0	0	0.09379	0.01407	0.11927	0	0	0.27121	0	0.02479	0.47694	0	0.03506
16	0	0	0.00244	0	0.00014	0.03014	0.00243	0	0.00541	0	0.05674	0.00118	0	0	0	0	0	0	0	0	0	0	0	0.00437	0	0	0	0	0.00752	0	0	0	0	0	0	0.02214	0	0.07362	0	0.12998	0.14825	0	0.00397	0	0.39235	0.04001	0	0	0	0	0.00291	0	0	0	0	0	0	0	0	0	0.00364	0	0.03338	0	0	0	0	0.03937	0	0	0	0	0	0.09848	0	0.01189	0	0	0.81037	0	0.00291	0.0764	0	0.03985
17	0	0	0.01185	0	0.00105	0.02744	0.01421	0	0.00803	0	0.12337	0.00435	0	0	0.00407	0.00322	0	0	0	0.00138	0	0	0	0.0026	0.00248	0	0	0	0.0057	0	0	0	0	0	0	0.04552	0	0.07371	0	0.09755	0.09424	0	0.00409	0	0.38668	0.0214	0	0	0	0	0.00188	0.00412	0.00493	0	0	0	0.00279	0	0	0	0.00977	0	0.01673	0.00824	0	0	0	0.01853	0	0	0	0	0	0.19034	0.00868	0.0108	0	0	0.72321	0	0.01371	0.05328	0	0.04442
18	0	0	0.00312	0	0.00191	0.02235	0.01154	0	0.00336	0	0.20995	0	0	0	0.00227	0.01508	0	0	0	0.00536	0	0	0	0.00032	0.00092	0	0	0	0.02068	0	0	0	0	0	0	0.05889	0	0.09238	0	0.09401	0.04098	0	0.00065	0	0.30709	3e-05	0	0	0	0	0	0.0251	0.01667	0	0	0	0.01646	0	0	0	0	0	0.00903	0.01091	0	0	0	0.03092	0	0	0	0	0	0.25224	0.02271	0.02192	0	0	0.59409	0	0.05822	0.05086	0	0.03497
