tc_id	svc_id	fraction
1	2	0.05241
1	3	0.00217
1	4	0.03179
1	7	0.36471
1	8	1e-04
1	9	0.01807
1	10	0.53077
2	2	0.01695
2	3	0.00202
2	4	0.01006
2	7	0.35629
2	8	0.00222
2	9	0.01305
2	10	0.59942
3	2	0.01253
3	3	0.00266
3	4	0.00855
3	7	0.31297
3	8	0.00897
3	9	0.02114
3	10	0.63316
4	2	0.04122
4	3	0.00856
4	4	0.04195
4	7	0.35227
4	9	0.029
4	10	0.52697
5	2	0.04032
5	3	0.01365
5	4	0.01454
5	7	0.4341
5	9	0.04996
5	10	0.44735
6	2	0.04591
6	3	0.00947
6	4	0.01592
6	7	0.46203
6	9	0.04577
6	10	0.42088
7	2	0.10144
7	3	0.00279
7	4	0.00785
7	7	0.78007
7	9	0.00738
7	10	0.10045
8	2	0.13296
8	3	0.0049
8	4	0.01165
8	7	0.75892
8	9	0.01043
8	10	0.08112
9	2	0.12908
9	3	0.0075
9	4	0.01417
9	7	0.74054
9	9	0.01613
9	10	0.09258
10	2	0.13198
10	3	0.00059
10	4	0.00428
10	7	0.80352
10	9	0.01353
10	10	0.04613
11	2	0.14348
11	3	0.00319
11	4	0.00713
11	7	0.75691
11	9	0.02686
11	10	0.06238
12	2	0.15907
12	3	0.01448
12	4	0.0111
12	7	0.70905
12	9	0.03471
12	10	0.07161
13	2	0.11948
13	3	0.0082
13	4	0.06777
13	7	0.44216
13	9	0.02305
13	10	0.33929
14	2	0.14562
14	3	0.00335
14	4	0.09223
14	7	0.34429
14	9	0.0364
14	10	0.37822
15	2	0.09379
15	3	0.01407
15	4	0.11927
15	7	0.27121
15	9	0.02479
15	10	0.47694
16	2	0.09848
16	4	0.01189
16	7	0.81037
16	9	0.00291
16	10	0.0764
17	2	0.19034
17	3	0.00868
17	4	0.0108
17	7	0.72321
17	9	0.01371
17	10	0.05328
18	2	0.25224
18	3	0.02271
18	4	0.02192
18	7	0.59409
18	9	0.05822
18	10	0.05086
19	2	0.04482
19	3	0.00632
19	4	0.11141
19	7	0.33001
19	9	0.05355
19	10	0.45389
20	2	0.08848
20	3	0.01063
20	4	0.14886
20	7	0.26233
20	9	0.04324
20	10	0.44649
21	2	0.13866
21	4	0.1444
21	7	0.29746
21	9	0.0175
21	10	0.40206
22	2	0.07744
22	7	0.85808
22	9	0.01742
22	10	0.04711
23	2	0.1844
23	3	0.00032
23	4	0.05622
23	7	0.66141
23	9	0.01848
23	10	0.07914
24	2	0.23323
24	4	0.23584
24	7	0.41452
24	9	0.00635
24	10	0.11003
25	2	0.12804
25	3	0.00705
25	4	0.0993
25	7	0.30061
25	9	0.09151
25	10	0.37359
26	2	0.05823
26	3	0.00612
26	4	0.42852
26	7	0.14846
26	9	0.0947
26	10	0.26408
27	3	0.01871
27	4	0.31411
27	9	0.26571
27	10	0.40146
28	2	0.15853
28	4	0.04213
28	7	0.69737
28	9	0.01195
28	10	0.08997
29	2	0.24029
29	3	0.04485
29	4	0.04606
29	7	0.52503
29	9	0.05878
29	10	0.08498
30	2	0.27667
30	3	0.09333
30	4	0.06417
30	7	0.40867
30	9	0.103
30	10	0.054
31	2	0.08205
31	3	0.03095
31	4	0.04722
31	7	0.55188
31	9	0.05804
31	10	0.22984
32	2	0.07473
32	3	0.05799
32	4	0.12441
32	7	0.39841
32	9	0.09113
32	10	0.25345
33	2	0.07308
33	3	0.01428
33	4	0.59043
33	7	0.08543
33	9	0.0242
33	10	0.2126
34	2	0.1273
34	3	0.03218
34	4	0.25019
34	7	0.28254
34	9	0.04585
34	10	0.26203
35	2	0.14849
35	3	0.04007
35	4	0.22532
35	7	0.23686
35	9	0.06289
35	10	0.28644
36	2	0.08733
36	3	0.07767
36	4	0.299
36	7	0.13833
36	9	0.09267
36	10	0.305
37	2	0.14727
37	3	0.01499
37	4	0.23083
37	7	0.15195
37	9	0.02406
37	10	0.43087
38	2	0.10909
38	3	0.02626
38	4	0.158
38	7	0.23322
38	9	0.01377
38	10	0.45971
39	2	0.12453
39	3	0.00247
39	4	0.13266
39	7	0.19359
39	9	0.00228
39	10	0.54434
40	2	0.08965
40	4	0.11276
40	7	0.49525
40	10	0.30213
41	2	0.10321
41	4	0.04816
41	7	0.50562
41	10	0.34294
42	2	0.11657
42	4	0.05667
42	7	0.5412
42	10	0.28556
43	2	0.14074
43	4	0.00749
43	7	0.7192
43	10	0.13256
44	2	0.16633
44	4	0.01657
44	7	0.72703
