pid	description	slope	frac_rocky	beta_fac	sdr
1	NA	9.36	NA	NA	NA
2	NA	5.43	NA	NA	NA
3	NA	10.34	NA	NA	NA
4	NA	8.93	NA	NA	NA
5	NA	6.6	NA	NA	NA
6	NA	8.9	NA	NA	NA
7	NA	8.47	NA	NA	NA
8	NA	13.62	NA	NA	NA
9	NA	16.5	NA	NA	NA
10	NA	6.19	NA	NA	NA
11	NA	15.01	NA	NA	NA
12	NA	12.42	NA	NA	NA
13	NA	13.27	NA	NA	NA
14	NA	20.48	NA	NA	NA
15	NA	16.08	NA	NA	NA
16	NA	7.99	NA	NA	NA
17	NA	15.21	NA	NA	NA
18	NA	17.67	NA	NA	NA
19	NA	15	NA	NA	NA
20	NA	24.2	NA	NA	NA
21	NA	8.97	NA	NA	NA
22	NA	10.72	NA	NA	NA
23	NA	20.31	NA	NA	NA
24	NA	27.98	NA	NA	NA
25	NA	22.48	NA	NA	NA
26	NA	32.4	NA	NA	NA
27	NA	9.89	NA	NA	NA
28	NA	13.33	NA	NA	NA
29	NA	24.55	NA	NA	NA
30	NA	12.07	NA	NA	NA
31	NA	12.09	NA	NA	NA
32	NA	24.98	NA	NA	NA
33	NA	44.54	NA	NA	NA
34	NA	18.75	NA	NA	NA
35	NA	27.74	NA	NA	NA
36	NA	9.96	NA	NA	NA
37	NA	30.18	NA	NA	NA
38	NA	24.35	NA	NA	NA
39	NA	13.15	NA	NA	NA
40	NA	13.14	NA	NA	NA
41	NA	22.58	NA	NA	NA
42	NA	2.62	NA	NA	NA
43	NA	11.66	NA	NA	NA
44	NA	17.22	NA	NA	NA
45	NA	14.73	NA	NA	NA
46	NA	13.02	NA	NA	NA
47	NA	24.56	NA	NA	NA
48	NA	36.6	NA	NA	NA
49	NA	26.65	NA	NA	NA
50	NA	14.83	NA	NA	NA
51	NA	45.82	NA	NA	NA
52	NA	19.17	NA	NA	NA
53	NA	25.83	NA	NA	NA
54	NA	26.58	NA	NA	NA
55	NA	17.39	NA	NA	NA
56	NA	29.42	NA	NA	NA
57	NA	30.6	NA	NA	NA
58	NA	9.82	NA	NA	NA
59	NA	12.64	NA	NA	NA
60	NA	12.87	NA	NA	NA
61	NA	32.54	NA	NA	NA
62	NA	44.17	NA	NA	NA
63	NA	35.46	NA	NA	NA
64	NA	31.26	NA	NA	NA
